,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
176,Liechtenstein,"17,225",,84 ,,"17,058",,83,,"449,399","2,192","102,174","2,665,710","38,329 ",Europe,2,456,0,,,"2,165",2022-05-05
177,San Marino,"16,561",,115 ,,"16,175",,271,4,"486,202","3,376","152,231","4,469,233","34,062 ",Europe,2,296,0,,,"7,956",2022-05-05
178,Equatorial Guinea,"15,908",,183 ,,"15,701",,24,5,"10,694",123,"316,462","212,746","1,487,512 ",Africa,94,"8,128",5,,,16,2022-05-05
179,Solomon Islands,"15,677",,141 ,,"14,109",,"1,427",2,"21,841",196,"5,117","7,129","717,782 ",Australia/Oceania,46,"5,091",140,,,"1,988",2022-05-05
180,Djibouti,"15,631",,189 ,,"15,427",,15,,"15,410",186,"305,941","301,609","1,014,364 ",Africa,65,"5,367",3,,,15,2022-05-05
181,Grenada,"14,984",,220 ,,"14,229",,535,4,"132,041","1,939","151,734","1,337,099","113,480 ",North America,8,516,1,,,"4,714",2022-05-05
182,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,939",23,"81,294","16,312","4,983,839 ",Africa,340,"44,105",61,,,"1,540",2022-05-05
183,Bermuda,"13,832",,131 ,,"13,289",,412,,"223,616","2,118","885,175","14,310,253","61,856 ",North America,4,472,0,,,"6,661",2022-05-05
184,Dominica,"12,161",,63 ,,"12,025",,73,,"168,169",871,"191,084","2,642,421","72,314 ",North America,6,"1,148",0,,,"1,009",2022-05-05
185,Gambia,"11,995",,365 ,,"11,591",,39,,"4,720",144,"155,686","61,265","2,541,191 ",Africa,212,"6,962",16,,,15,2022-05-05
186,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,198",369,"164,926","2,895,928","56,951 ",North America,5,"2,712",0,,,"161,349",2022-05-05
187,Monaco,"11,869",,54 ,,"11,672",,143,4,"298,569","1,358","54,960","1,382,537","39,753 ",Europe,3,736,1,,,"3,597",2022-05-05
188,Yemen,"11,819",,"2,149 ",,"9,009",,661,23,381,69,"265,253","8,548","31,031,025 ",Asia,"2,626","14,440",117,,,21,2022-05-05
189,Tonga,"10,494",,11 ,,"9,255",,"1,228",,"97,263",102,"486,186","4,506,187","107,893 ",Australia/Oceania,10,"9,808",0,,,"11,382",2022-05-05
190,Saint Martin,"10,462",,63  ,,"1,399",,"9,000",7,"262,363","1,580","112,382","2,818,287","39,876 ",North America,4,633,0,,,"225,700",2022-05-05
191,Samoa,"10,210",,20 ,,"1,605",,"8,585",4,"50,838",100,"73,313","365,043","200,834 ",Australia/Oceania,20,"10,042",3,,,"42,747",2022-05-05
192,Sint Maarten,"10,065",,86 ,,"9,913",,66,10,"229,957","1,965","62,056","1,417,807","43,769 ",North America,4,509,1,,,"1,508",2022-05-05
193,Caribbean Netherlands,"9,804",,34 ,,"9,714",,56,,"367,604","1,275","30,126","1,129,584","26,670 ",North America,3,784,1,,,"2,100",2022-05-05
194,Eritrea,"9,735",,103 ,,"9,631",,1,,"2,677",28,"23,693","6,515","3,636,487 ",Africa,374,"35,306",153,,,0.3,2022-05-05
195,Niger,"8,957",,309 ,,"8,550",,98,1,347,12,"250,880","9,719","25,813,384 ",Africa,"2,882","83,538",103,,,4,2022-05-05
196,Guinea-Bissau,"8,210",,171 ,,"7,530",,509,6,"3,998",83,"134,817","65,658","2,053,324 ",Africa,250,"12,008",15,,,248,2022-05-05
197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,964",177,,,"903,584 ",Africa,112,"5,647",,,,8,2022-05-05
198,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,928,15,"259,958","31,416","8,274,588 ",Africa,"1,077","66,197",32,,,331,2022-05-05
199,Antigua and Barbuda,"7,654",,137 ,,"7,464",,53,1,"76,989","1,378","18,901","190,118","99,417 ",North America,13,726,5,,,533,2022-05-05
200,Vanuatu,"7,622",,14 ,,"7,137",,471,3,"23,796",44,"24,976","77,974","320,311 ",Australia/Oceania,42,"22,879",13,,,"1,470",2022-05-05
201,Liberia,"7,434",,294 ,,"5,747",,"1,393",2,"1,409",56,"139,824","26,503","5,275,742 ",Africa,710,"17,945",38,,,264,2022-05-05
202,Chad,"7,412",,193 ,,"4,874",,"2,345",,429,11,"191,341","11,066","17,290,330 ",Africa,"2,333","89,587",90,,,136,2022-05-05
203,St. Vincent Grenadines,"6,786",,106 ,,"6,641",,39,,"60,814",950,"98,944","886,698","111,587 ",North America,16,"1,053",1,,,350,2022-05-05
204,British Virgin Islands,"6,355",,62 ,,N/A,N/A,N/A,1,"207,680","2,026","103,049","3,367,614","30,600 ",North America,5,494,0,,,"3,366",2022-05-05
205,Turks and Caicos,"5,995",,36 ,,"5,918",,41,4,"151,091",907,"497,269","12,532,613","39,678 ",North America,7,"1,102",0,,,"1,033",2022-05-05
206,Sao Tome and Principe,"5,964",,73 ,,"5,884",,7,,"26,316",322,"29,036","128,123","226,626 ",Africa,38,"3,104",8,,,31,2022-05-05
207,Saint Kitts and Nevis,"5,570",,43 ,,"5,519",,8,,"103,359",798,"70,707","1,312,062","53,890 ",North America,10,"1,253",1,,,148,2022-05-05
208,Cook Islands,"5,229",,1 ,,"4,990",,238,,"297,204",57,"16,982","965,215","17,594 ",Australia/Oceania,3,"17,594",1,,,"13,527",2022-05-05
209,Palau,"4,690",,6 ,,"4,043",,641,1,"256,958",329,"46,722","2,559,829","18,252 ",Australia/Oceania,4,"3,042",0,,,"35,119",2022-05-05
210,St. Barth,"4,544",,6 ,,N/A,N/A,N/A,,"457,511",604,"78,646","7,918,445","9,932 ",North America,2,"1,655",0,,,"410,391",2022-05-05
211,Kiribati,"3,089",,13 ,,"2,601",,475,3,"25,152",106,,,"122,812 ",Australia/Oceania,40,"9,447",,,,"3,868",2022-05-05
212,Anguilla,"2,788",,9 ,,"2,766",,13,4,"182,832",590,"51,382","3,369,532","15,249 ",North America,5,"1,694",0,,,853,2022-05-05
213,Saint Pierre Miquelon,"2,701",,1 ,,"2,449",,251,1,"470,394",174,"23,446","4,083,246","5,742 ",North America,2,"5,742",0,,,"43,713",2022-05-05
214,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,,2022-05-05
215,Wallis and Futuna,454,,7 ,,438,,9,,"41,736",644,"20,508","1,885,273","10,878 ",Australia/Oceania,24,"1,554",1,,,827,2022-05-05
216,Montserrat,371,,2 ,,198,,171,,"74,230",400,"10,135","2,027,811","4,998 ",North America,13,"2,499",0,,,"34,214",2022-05-05
217,Falkland Islands,195,, ,,N/A,N/A,N/A,,"53,191",,"8,632","2,354,610","3,666 ",South America,19,,0,,,"19,367",2022-05-05
218,Macao,82,, ,,82,,0,,123,,"5,375","8,076","665,578 ",Asia,"8,117",,124,,,,2022-05-05
219,Vatican City,29,, ,,29,,0,,"36,025",,,,805 ,Europe,28,,,,,,2022-05-05
220,Marshall Islands,17,, ,,14,,3,,284,,,,"59,923 ",Australia/Oceania,"3,525",,,,,50,2022-05-05
221,Western Sahara,10,,1 ,,9,,0,,16,2,,,"624,278 ",Africa,"62,428","624,278",,,,,2022-05-05
222,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,,2022-05-05
223,Niue,9,, ,,8,,1,,"5,468",,,,"1,646 ",Australia/Oceania,183,,,,,608,2022-05-05
224,Micronesia,7,, ,,1,,6,,60,,,,"117,236 ",Australia/Oceania,"16,748",,,,,51,2022-05-05
225,Nauru,5,, ,,3,,2,,457,,,,"10,949 ",Australia/Oceania,"2,190",,,,,183,2022-05-05
226,Saint Helena,2,, ,,2,,0,,327,,,,"6,110 ",Africa,"3,055",,,,,,2022-05-05
227,China,"218,571",+373,"5,141 ",+13,"200,675","+2,125","12,755",650,152,4,"160,000,000","111,163","1,439,323,776 ",Asia,"6,585","279,970",9,0.3,0.01,9,2022-05-05
