,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
76,Kuwait,"631,409",,"2,555 ",,"628,090",,764,8,"143,945",582,"8,007,805","1,825,573","4,386,460 ",Asia,7,"1,717",1,,,174,2022-05-05
77,Myanmar,"612,951",,"19,434 ",,"591,894",,"1,623",,"11,129",353,"7,989,608","145,057","55,079,184 ",Asia,90,"2,834",7,,,29,2022-05-05
78,Palestine,"581,940",,"5,353 ",,"576,242",,345,17,"109,409","1,006","3,078,533","578,785","5,318,954 ",Asia,9,994,2,,,65,2022-05-05
79,Dominican Republic,"579,572",,"4,376 ",,"574,824",,372,1,"52,462",396,"3,283,648","297,229","11,047,540 ",North America,19,"2,525",3,,,34,2022-05-05
80,Estonia,"572,434",,"2,548 ",,"511,857",,"58,029",3,"430,994","1,918","3,329,716","2,506,992","1,328,172 ",Europe,2,521,0,,,"43,691",2022-05-05
81,Bahrain,"570,103",,"1,476 ",,"565,516",,"3,111",2,"314,968",815,"9,733,630","5,377,598","1,810,033 ",Asia,3,"1,226",0,,,"1,719",2022-05-05
82,Venezuela,"522,564",,"5,709 ",,"515,819",,"1,036",230,"18,473",202,"3,359,014","118,743","28,288,101 ",South America,54,"4,955",8,,,37,2022-05-05
83,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,707","2,860","3,216,305","800,721","4,016,759 ",Europe,8,350,1,,,337,2022-05-05
84,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,870",232,"3,693,367","34,884","105,875,571 ",Africa,205,"4,302",29,,,461,2022-05-05
85,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,265",913,"2,477,219","351,740","7,042,747 ",Africa,14,"1,095",3,,,639,2022-05-05
86,Cyprus,"474,267",,"1,020 ",,"124,370",,"348,877",60,"387,635",834,"9,477,138","7,746,000","1,223,488 ",Asia,3,"1,199",0,,,"285,150",2022-05-05
87,Ethiopia,"470,647",,"7,510 ",,"455,716",,"7,421",5,"3,916",62,"4,800,646","39,943","120,187,071 ",Africa,255,"16,004",25,,,62,2022-05-05
88,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,219",646,"4,030,048","1,194,033","3,375,157 ",Asia,7,"1,549",1,,,"45,761",2022-05-05
89,Honduras,"423,794",,"10,895 ",,"132,358",,"280,541",105,"41,574","1,069","1,358,559","133,275","10,193,652 ",North America,24,936,8,,,"27,521",2022-05-05
90,Armenia,"422,877",,"8,622 ",,"412,026",,"2,229",,"142,220","2,900","3,059,332","1,028,898","2,973,407 ",Asia,7,345,1,,,750,2022-05-05
91,Oman,"389,126",,"4,258 ",,"384,243",,625,4,"72,804",797,"25,000,000","4,677,399","5,344,851 ",Asia,14,"1,255",0,,,117,2022-05-05
92,Bosnia and Herzegovina,"377,087",,"15,765 ",,"192,218",,"169,104",,"116,264","4,861","1,758,191","542,087","3,243,377 ",Europe,9,206,2,,,"52,138",2022-05-05
93,Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,656",818,"1,603,660","1,768,019","907,038 ",Africa,2,"1,222",1,,,"19,787",2022-05-05
94,Qatar,"364,826",,677 ,,"363,645",,504,3,"129,933",241,"3,452,650","1,229,662","2,807,805 ",Asia,8,"4,147",1,,,179,2022-05-05
95,Kenya,"323,806",,"5,649 ",,"318,034",,123,,"5,788",101,"3,605,860","64,455","55,944,116 ",Africa,173,"9,903",16,,,2,2022-05-05
96,Zambia,"319,755",,"3,976 ",,"315,266",,513,1,"16,543",206,"3,429,405","177,430","19,328,259 ",Africa,60,"4,861",6,,,27,2022-05-05
97,North Macedonia,"309,925",,"9,283 ",,"300,021",,621,,"148,772","4,456","2,025,083","972,094","2,083,217 ",Europe,7,224,1,,,298,2022-05-05
98,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,417","1,102","2,026,898","831,126","2,438,737 ",Africa,8,907,1,,,59,2022-05-05
99,Albania,"275,211",,"3,496 ",,"271,424",,291,2,"95,825","1,217","1,808,952","629,851","2,872,031 ",Europe,10,822,2,,,101,2022-05-05
100,Algeria,"265,782",,"6,875 ",,"178,358",,"80,549",6,"5,867",152,"230,861","5,096","45,303,854 ",Africa,170,"6,590",196,,,"1,778",2022-05-05
101,Nigeria,"255,766",,"3,143  ",,"249,914",,"2,709",11,"1,187",15,"5,075,820","23,552","215,511,406 ",Africa,843,"68,569",42,,,13,2022-05-05
102,Zimbabwe,"248,050",,"5,471 ",,"241,899",,680,12,"16,255",359,"2,264,510","148,396","15,259,935 ",Africa,62,"2,789",7,,,45,2022-05-05
103,Luxembourg,"240,132",,"1,068 ",,"229,649",,"9,415",1,"372,492","1,657","4,234,646","6,568,765","644,664 ",Europe,3,604,0,,,"14,605",2022-05-05
104,Uzbekistan,"238,651",+15,"1,637 ",,"236,777",+12,237,23,"6,946",48,"1,377,915","40,103","34,359,257 ",Asia,144,"20,989",25,0.4,,7,2022-05-05
105,Montenegro,"235,484",,"2,716 ",,"232,117",,651,6,"374,848","4,323","2,456,137","3,909,726","628,212 ",Europe,3,231,0,,,"1,036",2022-05-05
106,Taiwan,"232,402","+30,106",886 ,+5,"30,973","+1,276","200,543",,"9,726",37,"15,072,064","630,739","23,895,881 ",Asia,103,"26,971",2,"1,260",0.2,"8,392",2022-05-05
107,Mozambique,"225,400",,"2,201 ",,"223,155",,44,13,"6,859",67,"1,314,422","39,999","32,861,508 ",Africa,146,"14,930",25,,,1,2022-05-05
108,Laos,"208,111",,745 ,,"7,660",,"199,706",,"27,862",100,"1,232,128","164,959","7,469,284 ",Asia,36,"10,026",6,,,"26,737",2022-05-05
109,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,902",445,"1,907,195","283,737","6,721,694 ",Asia,33,"2,247",4,,,237,2022-05-05
110,Iceland,"185,795",,119 ,,"75,685",,"109,991",,"538,057",345,"2,264,004","6,556,496","345,307 ",Europe,2,"2,902",0,,,"318,531",2022-05-05
111,Maldives,"179,171",,298 ,,"163,687",,"15,186",25,"321,088",534,"2,213,831","3,967,354","558,012 ",Asia,3,"1,873",0,,,"27,214",2022-05-05
112,Afghanistan,"178,901",,"7,683 ",,"161,896",,"9,322","1,124","4,413",190,"944,738","23,306","40,536,624 ",Asia,227,"5,276",43,,,230,2022-05-05
113,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,391",74,"2,612,795","53,994","48,390,164 ",Africa,295,"13,457",19,,,"1,245",2022-05-05
114,El Salvador,"162,089",,"4,128 ",,"150,662",,"7,299",8,"24,761",631,"1,950,448","297,948","6,546,266 ",North America,40,"1,586",3,,,"1,115",2022-05-05
115,Ghana,"161,216",,"1,445 ",,"159,737",,34,1,"4,997",45,"2,438,498","75,582","32,262,860 ",Africa,200,"22,327",13,,,1,2022-05-05
116,Namibia,"158,940",,"4,025 ",,"153,662",,"1,253",,"60,541","1,533","1,009,474","384,513","2,625,331 ",Africa,17,652,3,,,477,2022-05-05
117,Martinique,"153,253",,926 ,,104,,"152,223",8,"408,968","2,471","828,928","2,212,061","374,731 ",North America,2,405,0,,,"406,219",2022-05-05
118,Trinidad and Tobago,"149,532",,"3,843 ",,"137,013",,"8,676",18,"106,216","2,730","712,717","506,261","1,407,805 ",North America,9,366,2,,,"6,163",2022-05-05
119,Brunei ,"142,166",,218 ,,"141,408",,540,4,"319,355",490,"717,784","1,612,396","445,166 ",Asia,3,"2,042",1,,,"1,213",2022-05-05
120,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,106","2,134","938,039","2,343,633","400,250 ",North America,3,469,0,,,"342,351",2022-05-05
121,Cambodia,"136,258",,"3,056 ",,"133,156",,46,,"7,948",178,"2,954,445","172,336","17,143,544 ",Asia,126,"5,610",6,,,3,2022-05-05
122,Jamaica,"130,473",,"2,970 ",,"83,874",,"43,629",,"43,711",995,"1,008,811","337,973","2,984,886 ",North America,23,"1,005",3,,,"14,617",2022-05-05
123,Rwanda,"129,819",,"1,459 ",,"45,522",,"82,838",,"9,587",108,"5,285,642","390,339","13,541,157 ",Africa,104,"9,281",3,,,"6,117",2022-05-05
124,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,315",69,"1,751,774","63,109","27,757,944 ",Africa,232,"14,405",16,,,2,2022-05-05
125,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,855",55,"1,499,795","43,170","34,741,212 ",Africa,350,"18,285",23,,,4,2022-05-05
126,Malta,"92,308",,703 ,,"87,926",,"3,679",4,"208,041","1,584","1,889,711","4,258,974","443,701 ",Europe,5,631,0,,,"8,292",2022-05-05
127,DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,920,14,"846,704","8,955","94,555,007 ",Africa,"1,087","70,722",112,,,368,2022-05-05
128,Senegal,"86,010",,"1,966 ",,"84,025",,19,,"4,900",112,"1,071,480","61,042","17,553,251 ",Africa,204,"8,928",16,,,1,2022-05-05
129,Malawi,"85,795",,"2,634 ",,"82,069",,"1,092",67,"4,282",131,"575,161","28,705","20,036,661 ",Africa,234,"7,607",35,,,55,2022-05-05
