,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
29,South Africa,3798413.0,3785.0,100370.0,7.0,3651665.0,9970.0,46378.0,192.0,62601.0,1654.0,24505584.0,403871.0,60676777.0,Africa,16.0,605.0,2.0,764.0,2022-05-03,ZAF
30,Canada,3756272.0,4989.0,39292.0,60.0,3459763.0,6786.0,257217.0,468.0,97953.0,1025.0,60943345.0,1589234.0,38347627.0,North America,10.0,976.0,1.0,6708.0,2022-05-03,CAN
31,Philippines,3686082.0,134.0,60410.0,2.0,3620369.0,290.0,5303.0,289.0,32838.0,538.0,29599478.0,263694.0,112249444.0,Asia,30.0,1858.0,4.0,47.0,2022-05-03,PHL
32,Switzerland,3602489.0,2034.0,13859.0,3.0,3485200.0,12315.0,103430.0,87.0,410754.0,1580.0,20767523.0,2367903.0,8770428.0,Europe,2.0,633.0,0.0,11793.0,2022-05-03,CHE
33,Peru,3566523.0,648.0,212865.0,12.0,,,,293.0,105481.0,6296.0,29886697.0,883904.0,33812147.0,South America,9.0,159.0,1.0,48296.0,2022-05-03,PER
34,Chile,3562521.0,1129.0,57541.0,3.0,3424634.0,4476.0,80346.0,209.0,183480.0,2964.0,37084042.0,1909930.0,19416438.0,South America,5.0,337.0,1.0,4138.0,2022-05-03,CHL
35,Greece,3331288.0,4262.0,29205.0,44.0,3230438.0,6725.0,71645.0,235.0,322489.0,2827.0,79941425.0,7738826.0,10329916.0,Europe,3.0,354.0,0.0,6936.0,2022-05-03,GRC
36,Denmark,2967388.0,913.0,6183.0,8.0,2944366.0,1689.0,16839.0,8.0,509028.0,1061.0,127233608.0,21825732.0,5829523.0,Europe,2.0,943.0,0.0,2889.0,2022-05-03,DNK
37,Romania,2894896.0,1116.0,65496.0,16.0,2606660.0,,222740.0,191.0,152339.0,3447.0,22725764.0,1195908.0,19002936.0,Europe,7.0,290.0,1.0,11721.0,2022-05-03,ROU
38,Sweden,2500917.0,,18739.0,,2470701.0,,11477.0,21.0,244840.0,1835.0,18513445.0,1812469.0,10214488.0,Europe,4.0,545.0,1.0,1124.0,2022-05-03,SWE
39,Iraq,2325247.0,40.0,25211.0,1.0,2298174.0,218.0,1862.0,15.0,55531.0,602.0,18482865.0,441400.0,41873314.0,Asia,18.0,1661.0,2.0,44.0,2022-05-03,IRQ
40,Serbia,2007091.0,463.0,16002.0,3.0,1977662.0,957.0,13427.0,21.0,231419.0,1845.0,9497175.0,1095029.0,8672986.0,Europe,4.0,542.0,1.0,1548.0,2022-05-03,SRB
41,Bangladesh,1952726.0,7.0,29127.0,,1896001.0,278.0,27598.0,1297.0,11645.0,174.0,13995586.0,83460.0,167691408.0,Asia,86.0,5757.0,12.0,165.0,2022-05-03,BGD
42,Hungary,1903200.0,,46266.0,,1808061.0,,48873.0,40.0,197931.0,4812.0,11355462.0,1180957.0,9615474.0,Europe,5.0,208.0,1.0,5083.0,2022-05-03,HUN
43,Slovakia,1782607.0,765.0,19938.0,7.0,1746031.0,690.0,16638.0,70.0,326217.0,3649.0,7099765.0,1299257.0,5464480.0,Europe,3.0,274.0,1.0,3045.0,2022-05-03,SVK
44,Jordan,1694216.0,,14048.0,,1678941.0,,1227.0,124.0,163086.0,1352.0,16670254.0,1604689.0,10388461.0,Asia,6.0,739.0,1.0,118.0,2022-05-03,JOR
45,Georgia,1655221.0,,16811.0,,1637293.0,,1117.0,,416391.0,4229.0,16920079.0,4256454.0,3975158.0,Asia,2.0,236.0,0.0,281.0,2022-05-03,GEO
46,Pakistan,1528564.0,46.0,30372.0,,1494141.0,,4051.0,110.0,6683.0,133.0,28202655.0,123297.0,228737931.0,Asia,150.0,7531.0,8.0,18.0,2022-05-03,PAK
47,Ireland,1517112.0,491.0,7087.0,5.0,1461810.0,2313.0,48215.0,41.0,301092.0,1407.0,12063637.0,2394195.0,5038702.0,Europe,3.0,711.0,0.0,9569.0,2022-05-03,IRL
48,Norway,1426491.0,307.0,2932.0,10.0,,,,20.0,259418.0,533.0,11002430.0,2000877.0,5498803.0,Europe,4.0,1875.0,0.0,242709.0,2022-05-03,NOR
49,Kazakhstan,1305551.0,3.0,13660.0,,1291101.0,12.0,790.0,24.0,68041.0,712.0,11575012.0,603254.0,19187625.0,Asia,15.0,1405.0,2.0,41.0,2022-05-03,KAZ
50,Hong Kong,1204793.0,290.0,9318.0,7.0,,,,5.0,158353.0,1225.0,44972952.0,5911063.0,7608268.0,Asia,6.0,817.0,0.0,155389.0,2022-05-03,HKG
51,Singapore,1200976.0,1570.0,1338.0,,1140531.0,,59107.0,6.0,202371.0,225.0,23767171.0,4004897.0,5934528.0,Asia,5.0,4435.0,0.0,9960.0,2022-05-03,SGP
52,Morocco,1164984.0,20.0,16069.0,,1148556.0,39.0,359.0,293.0,30892.0,426.0,11237010.0,297977.0,37710997.0,Africa,32.0,2347.0,3.0,10.0,2022-05-03,MAR
53,Bulgaria,1157199.0,720.0,36920.0,27.0,978533.0,4881.0,141746.0,77.0,168866.0,5388.0,9855728.0,1438212.0,6852765.0,Europe,6.0,186.0,1.0,20684.0,2022-05-03,BGR
54,Croatia,1123029.0,549.0,15843.0,5.0,1102510.0,694.0,4676.0,15.0,276679.0,3903.0,4790822.0,1180309.0,4058956.0,Europe,4.0,256.0,1.0,1152.0,2022-05-03,HRV
55,Cuba,1103286.0,109.0,8527.0,,1093878.0,179.0,881.0,23.0,97515.0,754.0,12920253.0,1141974.0,11313967.0,North America,10.0,1327.0,1.0,78.0,2022-05-03,CUB
56,Lebanon,1097044.0,33.0,10387.0,1.0,1081770.0,,4887.0,186.0,162056.0,1534.0,4795578.0,708406.0,6769529.0,Asia,6.0,652.0,1.0,722.0,2022-05-03,LBN
57,Lithuania,1058779.0,238.0,9108.0,2.0,1026020.0,1182.0,23651.0,30.0,399114.0,3433.0,8255055.0,3111799.0,2652824.0,Europe,3.0,291.0,0.0,8915.0,2022-05-03,LTU
58,Tunisia,1040193.0,,28550.0,,,,,29.0,86360.0,2370.0,4572976.0,379661.0,12044884.0,Africa,12.0,422.0,3.0,-1198.19,2022-05-03,TUN
59,Finland,1023013.0,,3939.0,,46000.0,,973074.0,24.0,184112.0,709.0,10720282.0,1929334.0,5556468.0,Europe,5.0,1411.0,1.0,175125.0,2022-05-03,FIN
60,Slovenia,1010785.0,475.0,6595.0,3.0,991301.0,475.0,12889.0,22.0,486080.0,3171.0,2646952.0,1272903.0,2079461.0,Europe,2.0,315.0,1.0,6198.0,2022-05-03,SVN
61,Belarus,980828.0,40.0,6951.0,3.0,928536.0,,45341.0,,103861.0,736.0,13171246.0,1394722.0,9443636.0,Europe,10.0,1359.0,1.0,4801.0,2022-05-03,BLR
62,Nepal,978836.0,29.0,11951.0,,966674.0,23.0,211.0,,32524.0,397.0,5642144.0,187475.0,30095444.0,Asia,31.0,2518.0,5.0,7.0,2022-05-03,NPL
63,New Zealand,952697.0,9269.0,731.0,18.0,895772.0,6452.0,56194.0,,190459.0,146.0,7083851.0,1416175.0,5002100.0,Australia/Oceania,5.0,6843.0,1.0,11234.0,2022-05-03,NZL
64,Bolivia,905074.0,23.0,21923.0,,859142.0,221.0,24009.0,220.0,75648.0,1832.0,2699040.0,225591.0,11964333.0,South America,13.0,546.0,4.0,2007.0,2022-05-03,BOL
65,UAE,899033.0,209.0,2302.0,,882591.0,289.0,14140.0,,88934.0,228.0,156338294.0,15465208.0,10109033.0,Asia,11.0,4391.0,0.0,1399.0,2022-05-03,ARE
66,Uruguay,895775.0,,7197.0,,886654.0,,1924.0,18.0,256246.0,2059.0,6091188.0,1742452.0,3495757.0,South America,4.0,486.0,1.0,550.0,2022-05-03,URY
67,Ecuador,869696.0,53.0,35598.0,,,,,759.0,47962.0,1963.0,2470170.0,136224.0,18133173.0,South America,21.0,509.0,7.0,21520.0,2022-05-03,ECU
68,Costa Rica,852074.0,1032.0,8405.0,4.0,832853.0,742.0,10816.0,45.0,164518.0,1623.0,4291131.0,828527.0,5179229.0,North America,6.0,616.0,1.0,2088.0,2022-05-03,CRI
69,Guatemala,846632.0,153.0,17613.0,9.0,826812.0,265.0,2207.0,5.0,45710.0,951.0,4466318.0,241139.0,18521789.0,North America,22.0,1052.0,4.0,119.0,2022-05-03,GTM
70,Latvia,823110.0,384.0,5777.0,7.0,809733.0,,7600.0,8.0,445392.0,3126.0,7186387.0,3888618.0,1848057.0,Europe,2.0,320.0,0.0,4112.0,2022-05-03,LVA
71,Azerbaijan,792579.0,6.0,9709.0,,782786.0,18.0,84.0,,76902.0,942.0,6819005.0,661629.0,10306390.0,Asia,13.0,1062.0,2.0,8.0,2022-05-03,AZE
72,Panama,777658.0,652.0,8185.0,3.0,763170.0,469.0,6303.0,8.0,175187.0,1844.0,5883163.0,1325328.0,4439024.0,North America,6.0,542.0,1.0,1420.0,2022-05-03,PAN
73,Saudi Arabia,754238.0,102.0,9093.0,,741906.0,113.0,3239.0,49.0,21065.0,254.0,41912766.0,1170560.0,35805734.0,Asia,47.0,3938.0,1.0,90.0,2022-05-03,SAU
74,Sri Lanka,663408.0,18.0,16505.0,1.0,646129.0,2.0,774.0,,30745.0,765.0,6486117.0,300596.0,21577526.0,Asia,33.0,1307.0,3.0,36.0,2022-05-03,LKA
75,Paraguay,649455.0,,18870.0,,624673.0,,5912.0,2.0,89054.0,2587.0,2623300.0,359709.0,7292833.0,South America,11.0,386.0,3.0,811.0,2022-05-03,PRY
76,Kuwait,631409.0,,2555.0,,628090.0,,764.0,8.0,143956.0,583.0,8007805.0,1825717.0,4386115.0,Asia,7.0,1717.0,1.0,174.0,2022-05-03,KWT
77,Myanmar,612914.0,10.0,19434.0,,591847.0,32.0,1633.0,,11128.0,353.0,7970408.0,144713.0,55077194.0,Asia,90.0,2834.0,7.0,30.0,2022-05-03,MMR
78,Palestine,581940.0,,5353.0,,576242.0,,345.0,17.0,109422.0,1007.0,3078533.0,578856.0,5318304.0,Asia,9.0,994.0,2.0,65.0,2022-05-03,PSE
79,Dominican Republic,579443.0,,4376.0,,574726.0,,341.0,1.0,52453.0,396.0,3279736.0,296891.0,11046946.0,North America,19.0,2524.0,3.0,31.0,2022-05-03,DOM
80,Estonia,572193.0,241.0,2539.0,9.0,511039.0,818.0,58615.0,3.0,430814.0,1912.0,3326696.0,2504727.0,1328167.0,Europe,2.0,523.0,0.0,44132.0,2022-05-03,EST
81,Bahrain,569370.0,357.0,1476.0,,564735.0,425.0,3159.0,1.0,314620.0,816.0,9727349.0,5375093.0,1809708.0,Asia,3.0,1226.0,0.0,1746.0,2022-05-03,BHR
82,Venezuela,522514.0,36.0,5709.0,,515728.0,41.0,1077.0,230.0,18471.0,202.0,3359014.0,118741.0,28288539.0,South America,54.0,4955.0,8.0,38.0,2022-05-03,VEN
83,Moldova,516986.0,,11489.0,,504142.0,,1355.0,49.0,128706.0,2860.0,3216305.0,800711.0,4016810.0,Europe,8.0,350.0,1.0,337.0,2022-05-03,MDA
