,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
368,Sudan,62117.0,18.0,4931.0,2.0,,,,,1359.0,108.0,562941.0,12312.0,45724527.0,Africa,736.0,9273.0,81.0,369.0,2022-05-04,SDN
369,New Caledonia,60749.0,,312.0,,60231.0,,206.0,9.0,209099.0,1074.0,98964.0,340636.0,290527.0,Australia/Oceania,5.0,931.0,3.0,709.0,2022-05-04,NCL
370,Bhutan,59274.0,84.0,21.0,,58623.0,233.0,630.0,1.0,75300.0,27.0,2300918.0,2923003.0,787176.0,Asia,13.0,37485.0,0.0,800.0,2022-05-04,BTN
371,Mauritania,58695.0,4.0,982.0,,57696.0,4.0,17.0,,12044.0,201.0,804958.0,165171.0,4873495.0,Africa,83.0,4963.0,6.0,3.0,2022-05-04,MRT
372,Belize,57535.0,26.0,676.0,,56640.0,14.0,219.0,6.0,140038.0,1645.0,541382.0,1317706.0,410852.0,North America,7.0,608.0,1.0,533.0,2022-05-04,BLZ
373,Cabo Verde,56031.0,5.0,401.0,,55562.0,2.0,68.0,23.0,98811.0,707.0,400982.0,707134.0,567052.0,Africa,10.0,1414.0,1.0,120.0,2022-05-04,CPV
374,Syria,55829.0,4.0,3150.0,,52223.0,20.0,456.0,,3054.0,172.0,146269.0,8002.0,18279328.0,Asia,327.0,5803.0,125.0,25.0,2022-05-04,SYR
375,Gabon,47602.0,,304.0,,47285.0,,13.0,,20501.0,131.0,1593622.0,686336.0,2321928.0,Africa,49.0,7638.0,1.0,6.0,2022-05-04,GAB
376,Papua New Guinea,43821.0,,650.0,,43133.0,,38.0,7.0,4734.0,70.0,249149.0,26913.0,9257503.0,Australia/Oceania,211.0,14242.0,37.0,4.0,2022-05-04,PNG
377,Seychelles,42474.0,,166.0,,41727.0,,581.0,,427033.0,1669.0,,,99463.0,Africa,2.0,599.0,,5841.0,2022-05-04,SYC
378,Curaçao,42241.0,,274.0,,41612.0,,355.0,3.0,255506.0,1657.0,496693.0,3004379.0,165323.0,North America,4.0,603.0,0.0,2147.0,2022-05-04,CUW
379,Andorra,41349.0,368.0,153.0,,40689.0,332.0,507.0,14.0,533591.0,1974.0,249838.0,3224049.0,77492.0,Europe,2.0,506.0,0.0,6543.0,2022-05-04,AND
380,Burundi,40397.0,,38.0,,773.0,,39586.0,,3222.0,3.0,345742.0,27573.0,12539309.0,Africa,310.0,329982.0,36.0,3157.0,2022-05-04,BDI
381,Mauritius,37691.0,17.0,990.0,,35962.0,47.0,739.0,,29547.0,776.0,358675.0,281174.0,1275635.0,Africa,34.0,1289.0,4.0,579.0,2022-05-04,MUS
382,Mayotte,37363.0,,187.0,,2964.0,,34212.0,,131158.0,656.0,176919.0,621050.0,284871.0,Africa,8.0,1523.0,2.0,120096.0,2022-05-04,MYT
383,Togo,36993.0,2.0,273.0,,36697.0,5.0,23.0,,4285.0,32.0,731261.0,84694.0,8634119.0,Africa,233.0,31627.0,12.0,3.0,2022-05-04,TGO
384,Guinea,36459.0,,440.0,,35976.0,,43.0,8.0,2645.0,32.0,660107.0,47885.0,13785186.0,Africa,378.0,31330.0,21.0,3.0,2022-05-04,GIN
385,Aruba,34846.0,,212.0,,34516.0,,118.0,3.0,323857.0,1970.0,177885.0,1653252.0,107597.0,North America,3.0,508.0,1.0,1097.0,2022-05-04,ABW
386,Faeroe Islands,34658.0,,28.0,,7693.0,,26937.0,5.0,704388.0,569.0,778000.0,15812044.0,49203.0,Europe,1.0,1757.0,0.0,547467.0,2022-05-04,FRO
387,Tanzania,33872.0,,803.0,,,,,7.0,539.0,13.0,,,62850116.0,Africa,1856.0,78269.0,,523.0,2022-05-04,TZA
388,Bahamas,33601.0,25.0,798.0,,32374.0,10.0,429.0,,83975.0,1994.0,229817.0,574357.0,400129.0,North America,12.0,501.0,2.0,1072.0,2022-05-04,BHS
389,Lesotho,32910.0,,697.0,,24155.0,,8058.0,,15142.0,321.0,431221.0,198411.0,2173368.0,Africa,66.0,3118.0,5.0,3708.0,2022-05-04,LSO
390,Mali,30860.0,14.0,732.0,,29973.0,5.0,155.0,,1448.0,34.0,667507.0,31310.0,21319011.0,Africa,691.0,29124.0,32.0,7.0,2022-05-04,MLI
391,Haiti,30697.0,6.0,835.0,,29522.0,33.0,340.0,,2633.0,72.0,132422.0,11360.0,11657224.0,North America,380.0,13961.0,88.0,29.0,2022-05-04,HTI
392,Isle of Man,28416.0,,87.0,,26794.0,,1535.0,,330965.0,1013.0,150753.0,1755841.0,85858.0,Europe,3.0,987.0,1.0,17878.0,2022-05-04,IMN
393,Benin,26952.0,,163.0,,25506.0,,1283.0,5.0,2121.0,13.0,604310.0,47566.0,12704765.0,Africa,471.0,77943.0,21.0,101.0,2022-05-04,BEN
394,Somalia,26485.0,,1350.0,,13182.0,,11953.0,,1585.0,81.0,400466.0,23972.0,16705266.0,Africa,631.0,12374.0,42.0,716.0,2022-05-04,SOM
395,Congo,24079.0,,385.0,,20178.0,,3516.0,,4175.0,67.0,347815.0,60313.0,5766855.0,Africa,239.0,14979.0,17.0,610.0,2022-05-04,COG
396,Saint Lucia,23482.0,56.0,368.0,,22921.0,32.0,193.0,,126817.0,1987.0,143281.0,773802.0,185165.0,North America,8.0,503.0,1.0,1042.0,2022-05-04,LCA
397,Timor-Leste,22875.0,4.0,130.0,,22730.0,,15.0,,16765.0,95.0,262960.0,192723.0,1364448.0,Asia,60.0,10496.0,5.0,11.0,2022-05-04,TLS
398,Cayman Islands,22223.0,605.0,27.0,,8553.0,,13643.0,1.0,331015.0,402.0,222773.0,3318235.0,67136.0,North America,3.0,2487.0,0.0,203214.0,2022-05-04,CYM
399,Burkina Faso,20853.0,,382.0,,20439.0,,32.0,,950.0,17.0,248995.0,11342.0,21953005.0,Africa,1053.0,57469.0,88.0,1.0,2022-05-04,BFA
400,Nicaragua,18491.0,,225.0,,4225.0,,14041.0,,2732.0,33.0,,,6768970.0,North America,366.0,30084.0,,2074.0,2022-05-04,NIC
401,Gibraltar,17837.0,,102.0,,16579.0,,1156.0,,529712.0,3029.0,534283.0,15866807.0,33673.0,Europe,2.0,330.0,0.0,34330.0,2022-05-04,GIB
402,South Sudan,17487.0,3.0,138.0,,13514.0,,3835.0,1.0,1529.0,12.0,381528.0,33367.0,11434193.0,Africa,654.0,82856.0,30.0,335.0,2022-05-04,SSD
403,Tajikistan,17388.0,,124.0,,17264.0,,0.0,,1751.0,12.0,,,9930039.0,Asia,571.0,80081.0,,,2022-05-04,TJK
404,Liechtenstein,17214.0,13.0,84.0,,17031.0,27.0,99.0,1.0,449112.0,2192.0,102174.0,2665710.0,38329.0,Europe,2.0,456.0,0.0,2583.0,2022-05-04,LIE
405,San Marino,16524.0,37.0,115.0,,16152.0,23.0,257.0,4.0,485115.0,3376.0,152231.0,4469233.0,34062.0,Europe,2.0,296.0,0.0,7545.0,2022-05-04,SMR
406,Equatorial Guinea,15908.0,,183.0,,15701.0,,24.0,5.0,10695.0,123.0,316462.0,212764.0,1487385.0,Africa,93.0,8128.0,5.0,16.0,2022-05-04,GNQ
407,Solomon Islands,15677.0,,141.0,,14109.0,,1427.0,2.0,21842.0,196.0,5117.0,7129.0,717736.0,Australia/Oceania,46.0,5090.0,140.0,1988.0,2022-05-04,SLB
408,Djibouti,15631.0,,189.0,,15427.0,,15.0,,15410.0,186.0,305941.0,301621.0,1014324.0,Africa,65.0,5367.0,3.0,15.0,2022-05-04,DJI
409,Grenada,14743.0,241.0,220.0,,14111.0,118.0,412.0,4.0,129919.0,1939.0,150740.0,1328363.0,113478.0,North America,8.0,516.0,1.0,3631.0,2022-05-04,GRD
410,CAR,14649.0,,113.0,,6859.0,,7677.0,2.0,2939.0,23.0,81294.0,16312.0,4983609.0,Africa,340.0,44103.0,61.0,1540.0,2022-05-04,CAF
411,Bermuda,13488.0,344.0,131.0,,12981.0,308.0,376.0,,218055.0,2118.0,876273.0,14166338.0,61856.0,North America,5.0,472.0,0.0,6079.0,2022-05-04,BMU
412,Dominica,12161.0,,63.0,,12025.0,,73.0,,168169.0,871.0,191084.0,2642421.0,72314.0,North America,6.0,1148.0,0.0,1009.0,2022-05-04,DMA
413,Gambia,11995.0,,365.0,,11591.0,,39.0,,4721.0,144.0,155686.0,61269.0,2541005.0,Africa,212.0,6962.0,16.0,15.0,2022-05-04,GMB
414,Greenland,11971.0,,21.0,,2761.0,,9189.0,4.0,210202.0,369.0,164926.0,2895979.0,56950.0,North America,5.0,2712.0,0.0,161352.0,2022-05-04,GRL
415,Monaco,11824.0,45.0,54.0,,11653.0,19.0,117.0,4.0,297444.0,1358.0,54960.0,1382572.0,39752.0,Europe,3.0,736.0,1.0,2943.0,2022-05-04,MCO
416,Yemen,11819.0,,2149.0,,9009.0,,661.0,23.0,381.0,69.0,265253.0,8548.0,31029226.0,Asia,2625.0,14439.0,117.0,21.0,2022-05-04,YEM
417,Tonga,10494.0,,11.0,,9255.0,,1228.0,,97266.0,102.0,486186.0,4506312.0,107890.0,Australia/Oceania,10.0,9808.0,0.0,11382.0,2022-05-04,TON
418,Saint Martin,10462.0,,63.0,,1399.0,,9000.0,7.0,262376.0,1580.0,112382.0,2818428.0,39874.0,North America,4.0,633.0,0.0,225711.0,2022-05-04,MAF
419,Samoa,10210.0,,20.0,,1605.0,,8585.0,4.0,50839.0,100.0,73313.0,365050.0,200830.0,Australia/Oceania,20.0,10042.0,3.0,42748.0,2022-05-04,WSM
420,Sint Maarten,10065.0,,86.0,,9913.0,,66.0,10.0,229963.0,1965.0,62056.0,1417840.0,43768.0,North America,4.0,509.0,1.0,1508.0,2022-05-04,SXM
421,Caribbean Netherlands,9801.0,3.0,34.0,,9708.0,6.0,59.0,,367492.0,1275.0,30126.0,1129584.0,26670.0,North America,3.0,784.0,1.0,2212.0,2022-05-04,BES
422,Eritrea,9734.0,1.0,103.0,,9631.0,,0.0,,2677.0,28.0,23693.0,6516.0,3636353.0,Africa,374.0,35304.0,153.0,,2022-05-04,ERI
423,Niger,8954.0,3.0,309.0,,8531.0,19.0,114.0,1.0,347.0,12.0,250696.0,9713.0,25810976.0,Africa,2883.0,83531.0,103.0,4.0,2022-05-04,NER
424,Guinea-Bissau,8202.0,8.0,171.0,,7528.0,2.0,503.0,6.0,3995.0,83.0,134285.0,65403.0,2053197.0,Africa,250.0,12007.0,15.0,245.0,2022-05-04,GNB
425,Comoros,8100.0,,160.0,,7933.0,,7.0,,8965.0,177.0,,,903533.0,Africa,112.0,5647.0,,8.0,2022-05-04,COM
426,Sierra Leone,7681.0,,125.0,,,,,,928.0,15.0,259958.0,31418.0,8274144.0,Africa,1077.0,66193.0,32.0,331.0,2022-05-04,SLE
427,Antigua and Barbuda,7626.0,28.0,136.0,1.0,7443.0,21.0,47.0,1.0,76709.0,1368.0,18901.0,190122.0,99415.0,North America,13.0,731.0,5.0,473.0,2022-05-04,ATG
428,Vanuatu,7533.0,68.0,13.0,1.0,7023.0,114.0,497.0,3.0,23519.0,41.0,24976.0,77979.0,320291.0,Australia/Oceania,43.0,24638.0,13.0,1552.0,2022-05-04,VUT
429,Liberia,7434.0,,294.0,,5747.0,,1393.0,2.0,1409.0,56.0,139824.0,26505.0,5275417.0,Africa,710.0,17944.0,38.0,264.0,2022-05-04,LBR
430,Chad,7412.0,,193.0,,4874.0,,2345.0,,429.0,11.0,191341.0,11067.0,17289037.0,Africa,2333.0,89581.0,90.0,136.0,2022-05-04,TCD
431,St. Vincent Grenadines,6786.0,,106.0,,6641.0,,39.0,,60814.0,950.0,98944.0,886706.0,111586.0,North America,16.0,1053.0,1.0,350.0,2022-05-04,VCT
432,British Virgin Islands,6355.0,,62.0,,,,,1.0,207680.0,2026.0,103049.0,3367614.0,30600.0,North America,5.0,494.0,0.0,3366.0,2022-05-04,VGB
433,Turks and Caicos,5995.0,,36.0,,5918.0,,41.0,4.0,151095.0,907.0,497269.0,12532928.0,39677.0,North America,7.0,1102.0,0.0,1033.0,2022-05-04,TCA
434,Sao Tome and Principe,5964.0,,73.0,,5884.0,,7.0,,26318.0,322.0,29036.0,128129.0,226615.0,Africa,38.0,3104.0,8.0,31.0,2022-05-04,STP
435,Saint Kitts and Nevis,5566.0,4.0,43.0,,5519.0,,4.0,,103286.0,798.0,70707.0,1312086.0,53889.0,North America,10.0,1253.0,1.0,74.0,2022-05-04,KNA
436,Cook Islands,5200.0,29.0,1.0,,4941.0,49.0,258.0,,295572.0,57.0,16896.0,960382.0,17593.0,Australia/Oceania,3.0,17593.0,1.0,14665.0,2022-05-04,COK
437,Palau,4690.0,,6.0,,4043.0,,641.0,1.0,256958.0,329.0,46722.0,2559829.0,18252.0,Australia/Oceania,4.0,3042.0,0.0,35119.0,2022-05-04,PLW
438,St. Barth,4544.0,,6.0,,,,,,457511.0,604.0,78646.0,7918445.0,9932.0,North America,2.0,1655.0,0.0,410391.0,2022-05-04,BLM
439,Kiribati,3084.0,5.0,13.0,,2601.0,,470.0,3.0,25113.0,106.0,,,122807.0,Australia/Oceania,40.0,9447.0,,3827.0,2022-05-04,KIR
440,Anguilla,2788.0,,9.0,,2766.0,,13.0,4.0,182844.0,590.0,51382.0,3369753.0,15248.0,North America,5.0,1694.0,0.0,853.0,2022-05-04,AIA
441,Saint Pierre Miquelon,2701.0,,1.0,,2449.0,,251.0,1.0,470394.0,174.0,23446.0,4083246.0,5742.0,North America,2.0,5742.0,0.0,43713.0,2022-05-04,SPM
442,Diamond Princess,712.0,,13.0,,699.0,,0.0,,,,,,,,,,,,2022-05-04,
443,Wallis and Futuna,454.0,,7.0,,438.0,,9.0,,41736.0,644.0,20508.0,1885273.0,10878.0,Australia/Oceania,24.0,1554.0,1.0,827.0,2022-05-04,WLF
444,Montserrat,273.0,98.0,2.0,,181.0,17.0,90.0,,54622.0,400.0,10135.0,2027811.0,4998.0,North America,18.0,2499.0,0.0,18007.0,2022-05-04,MSR
445,Falkland Islands,128.0,67.0,,,,,,,34915.0,,8632.0,2354610.0,3666.0,South America,29.0,,0.0,1091.0,2022-05-04,
446,Macao,82.0,,,,82.0,,0.0,,123.0,,5375.0,8076.0,665553.0,Asia,8117.0,,124.0,,2022-05-04,MAC
447,Vatican City,29.0,,,,29.0,,0.0,,36025.0,,,,805.0,Europe,28.0,,,,2022-05-04,
448,Marshall Islands,17.0,,,,14.0,,3.0,,284.0,,,,59922.0,Australia/Oceania,3525.0,,,50.0,2022-05-04,
449,Western Sahara,10.0,,1.0,,9.0,,0.0,,16.0,2.0,,,624238.0,Africa,62424.0,624238.0,,,2022-05-04,ESH
450,MS Zaandam,9.0,,2.0,,7.0,,0.0,,,,,,,,,,,,2022-05-04,
451,Niue,9.0,,,,7.0,1.0,2.0,,5468.0,,,,1646.0,Australia/Oceania,183.0,,,1215.0,2022-05-04,
452,Micronesia,7.0,,,,1.0,,6.0,,60.0,,,,117232.0,Australia/Oceania,16747.0,,,51.0,2022-05-04,
453,Nauru,5.0,,,,3.0,,2.0,,457.0,,,,10949.0,Australia/Oceania,2190.0,,,183.0,2022-05-04,
454,Saint Helena,2.0,,,,2.0,,0.0,,327.0,,,,6110.0,Africa,3055.0,,,,2022-05-04,
455,China,217836.0,362.0,5112.0,16.0,196458.0,2092.0,16266.0,615.0,151.0,4.0,160000000.0,111163.0,1439323776.0,Asia,6607.0,281558.0,9.0,11.0,2022-05-04,CHN
456,USA,83356490.0,78191.0,1023513.0,307.0,80836418.0,30253.0,1496559.0,1655.0,249149.0,3059.0,1008201262.0,3013472.0,334564690.0,North America,4.0,327.0,0.0,4473.0,2022-05-05,USA
457,India,43091393.0,3155.0,523975.0,27.0,42547699.0,,19719.0,698.0,30672.0,373.0,838955577.0,597163.0,1404902630.0,Asia,33.0,2681.0,2.0,14.0,2022-05-05,IND
458,Brazil,30502501.0,21682.0,663816.0,151.0,29602372.0,6722.0,236313.0,8318.0,141653.0,3083.0,63776166.0,296176.0,215332283.0,South America,7.0,324.0,3.0,1097.0,2022-05-05,BRA
459,France,28805690.0,44225.0,146376.0,122.0,27301021.0,125280.0,1358293.0,1511.0,439523.0,2233.0,269816888.0,4116918.0,65538567.0,Europe,2.0,448.0,0.0,20725.0,2022-05-05,FRA
460,Germany,25116363.0,87201.0,136405.0,159.0,23000500.0,159200.0,1979458.0,1279.0,298027.0,1619.0,122332384.0,1451576.0,84275579.0,Europe,3.0,618.0,1.0,23488.0,2022-05-05,DEU
461,UK,22090523.0,10896.0,175546.0,438.0,21395888.0,32738.0,519089.0,278.0,322299.0,2561.0,518646957.0,7567021.0,68540442.0,Europe,3.0,390.0,0.0,7573.0,2022-05-05,GBR
462,Russia,18211178.0,5011.0,376560.0,139.0,17578659.0,8723.0,255959.0,2300.0,124692.0,2578.0,273400000.0,1871971.0,146049292.0,Europe,8.0,388.0,1.0,1753.0,2022-05-05,RUS
463,S. Korea,17438068.0,42277.0,23158.0,79.0,,,,441.0,339591.0,451.0,15804065.0,307771.0,51350154.0,Asia,3.0,2217.0,3.0,320260.0,2022-05-05,KOR
464,Italy,16633911.0,48672.0,164041.0,138.0,15282800.0,70523.0,1187070.0,371.0,275859.0,2720.0,214930050.0,3564424.0,60298685.0,Europe,4.0,368.0,0.0,19686.0,2022-05-05,ITA
465,Turkey,15037242.0,1253.0,98808.0,11.0,14934029.0,1782.0,4405.0,975.0,174843.0,1149.0,159413862.0,1853553.0,86004468.0,Asia,6.0,870.0,1.0,51.0,2022-05-05,TUR
466,Spain,11953481.0,18526.0,104668.0,67.0,11446906.0,6703.0,401907.0,339.0,255482.0,2237.0,471036328.0,10067458.0,46788010.0,Europe,4.0,447.0,0.0,8590.0,2022-05-05,ESP
467,Vietnam,10662446.0,4305.0,43047.0,2.0,9309336.0,5084.0,1310063.0,480.0,107760.0,435.0,85802635.0,867168.0,98945817.0,Asia,9.0,2299.0,1.0,13240.0,2022-05-05,VNM
468,Argentina,9083673.0,,128653.0,,8895999.0,,59021.0,372.0,197657.0,2799.0,35716069.0,777165.0,45956854.0,South America,5.0,357.0,1.0,1284.0,2022-05-05,ARG
469,Netherlands,8054728.0,1669.0,22266.0,3.0,7898759.0,,133703.0,58.0,468177.0,1294.0,21107399.0,1226857.0,17204447.0,Europe,2.0,773.0,1.0,7771.0,2022-05-05,NLD
470,Japan,7978912.0,26720.0,29708.0,25.0,7597588.0,46310.0,351616.0,166.0,63443.0,236.0,49108094.0,390472.0,125766020.0,Asia,16.0,4233.0,3.0,2796.0,2022-05-05,JPN
471,Iran,7223828.0,228.0,141138.0,7.0,6994857.0,2193.0,87833.0,1024.0,84031.0,1642.0,50914586.0,592266.0,85965722.0,Asia,12.0,609.0,2.0,1022.0,2022-05-05,IRN
472,Australia,6116320.0,54868.0,7413.0,57.0,5699816.0,61927.0,409091.0,134.0,234856.0,285.0,69708948.0,2676705.0,26042818.0,Australia/Oceania,4.0,3513.0,0.0,15708.0,2022-05-05,AUS
473,Colombia,6092667.0,978.0,139797.0,12.0,5926476.0,600.0,26394.0,342.0,117442.0,2695.0,34465052.0,664346.0,51878141.0,South America,9.0,371.0,2.0,509.0,2022-05-05,COL
474,Indonesia,6047491.0,250.0,156321.0,19.0,5884325.0,445.0,6845.0,2771.0,21689.0,561.0,95739932.0,343361.0,278831339.0,Asia,46.0,1784.0,3.0,25.0,2022-05-05,IDN
475,Poland,5997998.0,909.0,116070.0,29.0,5334779.0,49.0,547149.0,1125.0,158801.0,3073.0,36120899.0,956324.0,37770548.0,Europe,6.0,325.0,1.0,14486.0,2022-05-05,POL
476,Mexico,5740080.0,,324350.0,,5039624.0,,376106.0,4798.0,43678.0,2468.0,15801675.0,120239.0,131418619.0,North America,23.0,405.0,8.0,2862.0,2022-05-05,MEX
477,Ukraine,5002870.0,,108411.0,,,,,177.0,115669.0,2507.0,19521252.0,451341.0,43251694.0,Europe,9.0,399.0,2.0,19339.0,2022-05-05,UKR
478,Malaysia,4452835.0,1278.0,35567.0,2.0,4388491.0,2599.0,28777.0,74.0,134417.0,1074.0,58863643.0,1776911.0,33126954.0,Asia,7.0,931.0,1.0,869.0,2022-05-05,MYS
479,Thailand,4300614.0,9790.0,28917.0,54.0,4170419.0,17109.0,101278.0,1496.0,61331.0,412.0,17270775.0,246298.0,70121394.0,Asia,16.0,2425.0,4.0,1444.0,2022-05-05,THA
480,Austria,4161004.0,5755.0,18200.0,22.0,4070732.0,7515.0,72072.0,83.0,457218.0,2000.0,183522680.0,20165767.0,9100704.0,Europe,2.0,500.0,0.0,7919.0,2022-05-05,AUT
481,Israel,4085418.0,1383.0,10699.0,30.0,4052605.0,,22114.0,150.0,438068.0,1147.0,41373364.0,4436346.0,9326000.0,Asia,2.0,872.0,0.0,2371.0,2022-05-05,ISR
482,Belgium,4071279.0,4414.0,31494.0,12.0,3850029.0,10351.0,189756.0,131.0,348503.0,2696.0,33643042.0,2879858.0,11682186.0,Europe,3.0,371.0,0.0,16243.0,2022-05-05,BEL
483,Czechia,3910386.0,1206.0,40194.0,6.0,3857558.0,868.0,12634.0,24.0,363911.0,3741.0,55251048.0,5141813.0,10745440.0,Europe,3.0,267.0,0.0,1176.0,2022-05-05,CZE
484,Portugal,3853800.0,13992.0,22280.0,17.0,,,,61.0,379978.0,2197.0,41418112.0,4083759.0,10142155.0,Europe,3.0,455.0,0.0,94195.0,2022-05-05,PRT
485,South Africa,3808368.0,9757.0,100407.0,64.0,3663153.0,5829.0,44808.0,192.0,62761.0,1655.0,24554412.0,404648.0,60680863.0,Africa,16.0,604.0,2.0,738.0,2022-05-05,ZAF
486,Canada,3771460.0,11631.0,39481.0,188.0,3470114.0,3654.0,261865.0,468.0,98345.0,1030.0,61084458.0,1592839.0,38349433.0,North America,10.0,971.0,1.0,6828.0,2022-05-05,CAN
487,Philippines,3686375.0,168.0,60439.0,,3621244.0,166.0,4692.0,289.0,32839.0,538.0,29637969.0,264018.0,112257415.0,Asia,30.0,1857.0,4.0,42.0,2022-05-05,PHL
488,Switzerland,3619035.0,,13865.0,,3492051.0,2700.0,113119.0,69.0,412624.0,1581.0,20851897.0,2377430.0,8770773.0,Europe,2.0,633.0,0.0,12897.0,2022-05-05,CHE
489,Peru,3567863.0,829.0,212891.0,15.0,,,,295.0,105512.0,6296.0,29946934.0,885620.0,33814658.0,South America,9.0,159.0,1.0,48331.0,2022-05-05,PER
490,Chile,3566183.0,3309.0,57580.0,17.0,3432333.0,2251.0,76270.0,197.0,183660.0,2965.0,37153233.0,1913405.0,19417334.0,South America,5.0,337.0,1.0,3928.0,2022-05-05,CHL
491,Greece,3343565.0,5191.0,29284.0,31.0,3237163.0,11110.0,77118.0,231.0,323687.0,2835.0,80206153.0,7764662.0,10329639.0,Europe,3.0,353.0,0.0,7466.0,2022-05-05,GRC
492,Denmark,2969194.0,808.0,6207.0,11.0,2948221.0,1862.0,14766.0,8.0,509328.0,1065.0,127255034.0,21828992.0,5829634.0,Europe,2.0,939.0,0.0,2533.0,2022-05-05,DNK
493,Romania,2896843.0,685.0,65519.0,18.0,2606660.0,,224664.0,179.0,152447.0,3448.0,22771264.0,1198346.0,19002238.0,Europe,7.0,290.0,1.0,11823.0,2022-05-05,ROU
494,Sweden,2500917.0,,18739.0,,2471418.0,1204.0,10760.0,21.0,244832.0,1834.0,18513445.0,1812408.0,10214832.0,Europe,4.0,545.0,1.0,1053.0,2022-05-05,SWE
495,Iraq,2325352.0,45.0,25212.0,,2298571.0,146.0,1569.0,14.0,55526.0,602.0,18487755.0,441464.0,41878259.0,Asia,18.0,1661.0,2.0,37.0,2022-05-05,IRQ
496,Serbia,2008143.0,597.0,16013.0,4.0,1978619.0,,13511.0,21.0,231545.0,1846.0,9513479.0,1096933.0,8672795.0,Europe,4.0,542.0,1.0,1558.0,2022-05-05,SRB
497,Bangladesh,1952743.0,4.0,29127.0,,1896531.0,257.0,27085.0,1297.0,11644.0,174.0,13998925.0,83476.0,167700367.0,Asia,86.0,5758.0,12.0,162.0,2022-05-05,BGD
498,Hungary,1903200.0,,46266.0,,1808061.0,,48873.0,40.0,197934.0,4812.0,11355462.0,1180973.0,9615341.0,Europe,5.0,208.0,1.0,5083.0,2022-05-05,HUN
499,Slovakia,1783906.0,553.0,19952.0,9.0,1750517.0,2410.0,13437.0,50.0,326454.0,3651.0,7107056.0,1300588.0,5464495.0,Europe,3.0,274.0,1.0,2459.0,2022-05-05,SVK
500,Jordan,1694216.0,,14048.0,,1678941.0,,1227.0,124.0,163078.0,1352.0,16670254.0,1604604.0,10389014.0,Asia,6.0,740.0,1.0,118.0,2022-05-05,JOR
501,Georgia,1655221.0,,16811.0,,1637293.0,,1117.0,,416396.0,4229.0,16920079.0,4256499.0,3975116.0,Asia,2.0,236.0,0.0,281.0,2022-05-05,GEO
502,Pakistan,1528624.0,21.0,30372.0,,1494141.0,,4111.0,107.0,6682.0,133.0,28215463.0,123340.0,228761407.0,Asia,150.0,7532.0,8.0,18.0,2022-05-05,PAK
503,Ireland,1520327.0,1147.0,7103.0,5.0,1467271.0,2727.0,45953.0,39.0,301712.0,1410.0,12088609.0,2399008.0,5039003.0,Europe,3.0,709.0,0.0,9119.0,2022-05-05,IRL
504,Norway,1427148.0,337.0,3006.0,,,,,20.0,259527.0,547.0,11002430.0,2000793.0,5499035.0,Europe,4.0,1829.0,0.0,242804.0,2022-05-05,NOR
505,Kazakhstan,1305566.0,9.0,13660.0,,1291187.0,60.0,719.0,24.0,68038.0,712.0,11575012.0,603215.0,19188852.0,Asia,15.0,1405.0,2.0,37.0,2022-05-05,KAZ
506,Hong Kong,1205396.0,321.0,9328.0,5.0,,,,5.0,158425.0,1226.0,44972952.0,5910805.0,7608600.0,Asia,6.0,816.0,0.0,155460.0,2022-05-05,HKG
507,Singapore,1204184.0,4733.0,1340.0,4.0,1142342.0,1423.0,60502.0,6.0,202903.0,226.0,23767171.0,4004727.0,5934779.0,Asia,5.0,4429.0,0.0,10194.0,2022-05-05,SGP
508,Morocco,1165026.0,58.0,16069.0,,1148661.0,47.0,296.0,293.0,30892.0,426.0,11237010.0,297958.0,37713387.0,Africa,32.0,2347.0,3.0,8.0,2022-05-05,MAR
509,Bulgaria,1158354.0,439.0,36953.0,12.0,986992.0,1922.0,134409.0,82.0,169042.0,5393.0,9871453.0,1440566.0,6852481.0,Europe,6.0,185.0,1.0,19615.0,2022-05-05,BGR
510,Croatia,1124762.0,961.0,15856.0,9.0,1103572.0,665.0,5334.0,17.0,277116.0,3907.0,4799675.0,1182530.0,4058818.0,Europe,4.0,256.0,1.0,1314.0,2022-05-05,HRV
511,Cuba,1103488.0,118.0,8527.0,,1094267.0,150.0,694.0,23.0,97534.0,754.0,12920253.0,1141977.0,11313930.0,North America,10.0,1327.0,1.0,61.0,2022-05-05,CUB
512,Lebanon,1097118.0,64.0,10392.0,2.0,1081770.0,1386.0,4956.0,186.0,162071.0,1535.0,4795578.0,708424.0,6769363.0,Asia,6.0,651.0,1.0,732.0,2022-05-05,LBN
513,Lithuania,1059185.0,189.0,9111.0,2.0,1027730.0,849.0,22344.0,20.0,399298.0,3435.0,8260224.0,3113989.0,2652618.0,Europe,3.0,291.0,0.0,8423.0,2022-05-05,LTU
514,Tunisia,1040712.0,,28566.0,,,,,29.0,86398.0,2371.0,4584296.0,380580.0,12045560.0,Africa,12.0,422.0,3.0,-1212.9,2022-05-05,TUN
515,Finland,1023013.0,29754.0,3939.0,211.0,46000.0,,973074.0,24.0,184111.0,709.0,10720282.0,1929318.0,5556515.0,Europe,5.0,1411.0,1.0,175123.0,2022-05-05,FIN
